This file is created using OBDScope v1.71
31.10.2013
www.obdscope.com

;;0x04;0x05;0x06;0x07;0x0b;0x0b;0x0c;0x0d;0x0d;0x0e;0x0f;0x10;0x11;0x15;0x21;0x24;0x24;0x24;0x439;0x438;0x437;0x437;0x437;0x442;0x442;0x443;0x470
Cycle;Timestamp;Calculated Load (%);Engine Coolant Temperature (°C);Short Term Fuel Trim B1 (%);Long Term Fuel Trim B1 (%);Intake Manifold Pressure (kPa(a));Intake Manifold Pressure (bar(g));Engine RPM (1/min);Vehicle Speed (km/h);Vehicle Speed (m/s);Timing advance (°);Intake Air Temperature (°C);Air Flow Rate (g/s);Absolute Throttle Position (%);O2 Sensor B1S2 (V);Distance with MIL (km);O2 Sensor (L/WB) B1S1 (V);O2 Sensor (L/WB) B1S1 (EqR);O2 Sensor (L/WB) B1S1 (lambda);Fuel System (0=Closed 1=Cold(O) 2=Load(O) 3=Fail(O) -1=Fail(C);OBD Port Voltage (V);Momentary Fuel Economy (l/100km);Momentary Fuel Economy (km/l);Momentary Fuel Economy (l/h);Engine power (hp);Engine power (kW);Engine torque (Nm);AFR B1S1
56;08:31:42.0;4.70588;50;-11.718;-2.3436;44;-0.57325;1018.75;0;0;16;19;5.88;13.3333;0.62;0;2.14209;1.00196;0.998047;0;13.5;;;2.00083;6.5423;4.81186;45.7288;14.6677
57;08:31:43.0;5.09804;51;-11.718;-2.3436;44;-0.57325;1018.75;0;0;16;19;5.88;13.3333;0.62;0;2.14209;1.00196;0.998047;0;13.3;;;2.00083;6.5423;4.81186;45.7288;14.6614
58;08:31:44.0;5.09804;51;-11.718;-2.3436;44;-0.57325;1015.5;0;0;16;19;5.88;13.3333;0.62;0;2.14209;1.00196;0.998047;0;13.3;;;2.00083;6.5423;4.81186;45.8751;14.6614
59;08:31:45.0;5.09804;51;-11.718;-2.3436;44;-0.57325;1015.5;0;0;17;19;5.83;13.3333;0.59;0;2.14209;1.00196;0.998047;0;13.3;;;1.98382;6.48667;4.77094;45.485;14.6614
60;08:31:46.0;5.09804;51;-11.718;-2.3436;44;-0.57325;1015.5;0;0;17;19;5.83;13.3333;0.59;0;2.13208;1.00263;0.997375;0;13.5;;;1.98382;6.48667;4.77094;45.485;14.6807
61;08:31:47.0;4.70588;51;-11.718;-2.3436;44;-0.57325;1015.5;0;0;17;19;5.83;13.3333;0.59;0;2.13208;1.00263;0.997375;0;13.5;;;1.98382;6.48667;4.77094;45.485;14.6807
62;08:31:48.0;4.70588;51;-11.718;-2.3436;44;-0.57325;1009.25;0;0;17;19;5.83;13.3333;0.59;0;2.13208;1.00263;0.997375;0;13.5;;;1.98382;6.48667;4.77094;45.7667;14.6807
63;08:31:49.0;4.70588;51;-11.718;-2.3436;44;-0.57325;1009.25;0;0;17;19;5.83;13.3333;0.02;0;2.11707;1.00685;0.993195;0;13.5;;;1.98382;6.48667;4.77094;45.7667;14.6807
64;08:31:50.113375;4.70588;51;-11.718;-2.3436;44;-0.57325;1009.25;0;0;17;19;5.83;13.3333;0.02;0;2.11707;1.00685;0.993195;0;13.2;;;1.98382;6.48667;4.77094;45.7667;14.6583
65;08:31:51.0;4.70588;51;-11.718;-2.3436;44;-0.57325;1009.25;0;0;17;19;5.83;13.3333;0.02;0;2.11707;1.00685;0.993195;0;13.2;;;1.98382;6.48667;4.77094;45.7667;14.6583
